x,y,center_x,center_y,hexbin_id,hex_attempts,hex_pct,hex_points_scored,hex_points_per_shot,zone_range,name_zone,zone_attempts,zone_pct,zone_points_scored,zone_points_per_shot,league_pct,league_pps,slug_season,streak_col,radius_factor,adj_x,adj_y,bounded_fg_diff,bounded_fg_pct,bounded_points_per_shot
12.749998999999999,21.851595988934303,11.999998999999999,22.284608690826524,553,2,1,4,2,16-24 ft.,Right Side Center,37,0.43243243243243246,32,0.8648648648648649,0.38575430172068825,0.77,2015-2021,3+ Makes,0.5622172478993495,-12.421661935924512,22.041161481263217,0.046678130711744203,0.43243243243243246,0.8648648648648649
11.999998999999999,21.418583287042086,11.999998999999999,22.284608690826524,553,2,1,4,2,16-24 ft.,Right Side Center,37,0.43243243243243246,32,0.8648648648648649,0.38575430172068825,0.77,2015-2021,3+ Makes,0.5622172478993495,-11.999998999999999,21.797714271699913,0.046678130711744203,0.43243243243243246,0.8648648648648649
11.249998999999999,21.851595988934303,11.999998999999999,22.284608690826524,553,2,1,4,2,16-24 ft.,Right Side Center,37,0.43243243243243246,32,0.8648648648648649,0.38575430172068825,0.77,2015-2021,3+ Makes,0.5622172478993495,-11.578336064075486,22.041161481263217,0.046678130711744203,0.43243243243243246,0.8648648648648649
11.249998999999999,22.717621392718744,11.999998999999999,22.284608690826524,553,2,1,4,2,16-24 ft.,Right Side Center,37,0.43243243243243246,32,0.8648648648648649,0.38575430172068825,0.77,2015-2021,3+ Makes,0.5622172478993495,-11.578336064075486,22.52805590038983,0.046678130711744203,0.43243243243243246,0.8648648648648649
11.999998999999999,23.15063409461096,11.999998999999999,22.284608690826524,553,2,1,4,2,16-24 ft.,Right Side Center,37,0.43243243243243246,32,0.8648648648648649,0.38575430172068825,0.77,2015-2021,3+ Makes,0.5622172478993495,-11.999998999999999,22.771503109953134,0.046678130711744203,0.43243243243243246,0.8648648648648649
14.249998999999999,22.717621392718744,13.499998999999999,22.284608690826524,554,1,0,0,0,16-24 ft.,Right Side Center,37,0.43243243243243246,32,0.8648648648648649,0.38575430172068825,0.77,2015-2021,3+ Makes,0.4469871512778951,-13.83523936345842,22.478159804912472,0.046678130711744203,0.43243243243243246,0.8648648648648649
14.249998999999999,21.851595988934303,13.499998999999999,22.284608690826524,554,1,0,0,0,16-24 ft.,Right Side Center,37,0.43243243243243246,32,0.8648648648648649,0.38575430172068825,0.77,2015-2021,3+ Makes,0.4469871512778951,-13.83523936345842,22.091057576740575,0.046678130711744203,0.43243243243243246,0.8648648648648649
13.499998999999999,21.418583287042086,13.499998999999999,22.284608690826524,554,1,0,0,0,16-24 ft.,Right Side Center,37,0.43243243243243246,32,0.8648648648648649,0.38575430172068825,0.77,2015-2021,3+ Makes,0.4469871512778951,-13.499998999999999,21.89750646265463,0.046678130711744203,0.43243243243243246,0.8648648648648649
12.749998999999999,21.851595988934303,13.499998999999999,22.284608690826524,554,1,0,0,0,16-24 ft.,Right Side Center,37,0.43243243243243246,32,0.8648648648648649,0.38575430172068825,0.77,2015-2021,3+ Makes,0.4469871512778951,-13.164758636541578,22.091057576740575,0.046678130711744203,0.43243243243243246,0.8648648648648649
12.749998999999999,22.717621392718744,13.499998999999999,22.284608690826524,554,1,0,0,0,16-24 ft.,Right Side Center,37,0.43243243243243246,32,0.8648648648648649,0.38575430172068825,0.77,2015-2021,3+ Makes,0.4469871512778951,-13.164758636541578,22.478159804912472,0.046678130711744203,0.43243243243243246,0.8648648648648649
13.499998999999999,23.15063409461096,13.499998999999999,22.284608690826524,554,1,0,0,0,16-24 ft.,Right Side Center,37,0.43243243243243246,32,0.8648648648648649,0.38575430172068825,0.77,2015-2021,3+ Makes,0.4469871512778951,-13.499998999999999,22.671710918998418,0.046678130711744203,0.43243243243243246,0.8648648648648649
15.749998999999999,22.717621392718744,14.999998999999999,22.284608690826524,555,1,0,0,0,16-24 ft.,Right Side Center,37,0.43243243243243246,32,0.8648648648648649,0.38575430172068825,0.77,2015-2021,3+ Makes,0.4469871512778951,-15.33523936345842,22.478159804912472,0.046678130711744203,0.43243243243243246,0.8648648648648649
15.749998999999999,21.851595988934303,14.999998999999999,22.284608690826524,555,1,0,0,0,16-24 ft.,Right Side Center,37,0.43243243243243246,32,0.8648648648648649,0.38575430172068825,0.77,2015-2021,3+ Makes,0.4469871512778951,-15.33523936345842,22.091057576740575,0.046678130711744203,0.43243243243243246,0.8648648648648649
14.999998999999999,21.418583287042086,14.999998999999999,22.284608690826524,555,1,0,0,0,16-24 ft.,Right Side Center,37,0.43243243243243246,32,0.8648648648648649,0.38575430172068825,0.77,2015-2021,3+ Makes,0.4469871512778951,-14.999998999999999,21.89750646265463,0.046678130711744203,0.43243243243243246,0.8648648648648649
14.249998999999999,21.851595988934303,14.999998999999999,22.284608690826524,555,1,0,0,0,16-24 ft.,Right Side Center,37,0.43243243243243246,32,0.8648648648648649,0.38575430172068825,0.77,2015-2021,3+ Makes,0.4469871512778951,-14.664758636541578,22.091057576740575,0.046678130711744203,0.43243243243243246,0.8648648648648649
